outcome,term,coef,OR,se,z,p,ci_lo,ci_hi
unsatisfactory,Intercept,-1.5048178677565214,0.2220577340223856,0.4834428364954892,-3.1127110676932372,0.0018537740540657433,0.08609117104208501,0.5727606750180213
unsatisfactory,C(unknowable)[T.True],1.1750287910922168,3.238236174852173,0.5033002516615475,2.3346477320706454,0.01956183083816129,1.2075317792595446,8.683973129511612
unsatisfactory,C(tier_cat)[T.large_open],-0.2681187716876055,0.7648169371097938,0.19733993849893416,-1.3586645142744564,0.1742529216872507,0.5194950775457426,1.1259874685501725
unsatisfactory,C(tier_cat)[T.frontier],-0.4917525186324978,0.6115536952508323,0.2940267927811182,-1.67247519853938,0.09443065449941947,0.34368338324669445,1.088204843195732
unsatisfactory,C(tier_cat)[T.reasoning],-0.6851594977856983,0.504009834710988,0.2742274831480272,-2.4985077714324175,0.012471740792699033,0.2944531156698633,0.8627041113404544
dodge,Intercept,-3.9808803894305513,0.018669195937716612,0.776539766987866,-5.126434676838328,2.952804407968878e-07,0.00407505773093156,0.08552980104190532
dodge,C(unknowable)[T.True],1.0009237180575505,2.7207939145205122,0.8109340421141679,1.2342849924613657,0.21709672617974995,0.5551717251978355,13.33410760905356
dodge,C(tier_cat)[T.large_open],-0.7138631381059493,0.4897485719163227,0.3720799371847587,-1.9185746576587814,0.05503818536687414,0.2361881810510457,1.0155193313514683
dodge,C(tier_cat)[T.frontier],-1.0066730494638683,0.3654327360351884,0.48395715745671897,-2.080087119186571,0.03751754283451623,0.1415345180064962,0.9435230814862731
dodge,C(tier_cat)[T.reasoning],-0.7138631381059453,0.48974857191632465,0.8387752609764905,-0.8510779601139831,0.39472604760365526,0.09462510659336944,2.5347782668800343
